CUST_ID,CUST_ROLE,CUST_NAME,BIRTH_DT,TAX_ID,HOME_PHN_NUM,WORK_PHN_NUM,MOBILE_PHN_NUM,ADR_LINE_1,ADR_LINE_2,CITY,STATE,ZIPCD,EMAIL
20236,BUSINESS,Gauge Ponce,1968-09-30,K5cOP89WP,6773457559,346046783,,62136 HALLAM COVE ST,,CARMEL,NY,10512233060,
168529,BUSINESS,Keagan Richard,1948-03-22,,5135788378,,,77978 COOLMOREE HWY,,PERKASIE,PA,18944212628,
189416,AUTHORIZED USER,Kyson Dennis,1969-08-14,,7047896944,,,70286 MANGATOTARA STREAM RD,,DALLAS,TX,75243143180,
189417,AUTHORIZED USER,Jordan Nolan,1969-08-14,,7047896944,,,70286 MANGATOTARA STREAM RD,,DALLAS,TX,75243143180,
189418,AUTHORIZED USER,Payten Shea,1965-06-24,JXijwHSiL,7047896944,,,70286 MANGATOTARA STREAM RD,,DALLAS,TX,75243143180,
189419,BUSINESS,Amelia Duffy,1966-08-06,Z5aUs0Eqq,7047896944,7043541220,,70286 MANGATOTARA STREAM RD,APT 338,DALLAS,TX,75243143180,
219512,BUSINESS,Natalee Robertson,1946-03-05,caOotKTHQ,2465452703,2468090531,,26512 STEWART CRAGS HWY,,FRANKLIN,WI,53132132371,
331898,BUSINESS,keagan rosario,1952-10-05,,515830711,1611819260,,23405 PARIHAMORE PA ROAD,,LEWISBURG,TN,37091133131,
722053,AUTHORIZED USER,Pierce Ibarra,1948-06-27,,1381068882,,,62575 RAKAWHIA RD,,SPRING BRANCH,TX,78070801264,
722054,BUSINESS,Remington Jackson,1950-11-30,,5739702800,5181085971,,41213 KAURI MOUNTAIN RD,,SAN ANTONIO,TX,78248142936,
1007348,PRIMARY,Emmy Lambert,1956-03-24,HqKwRZ6j7,7466578561,7288567341,,49410 MATAHIWI MARAE WAY,,VALLEY STREAM,NY,11582041616,
1007349,BUSINESS,Gary Collins,1956-03-24,pPsmjfFOp,6393370605,7288567341,,90566 OPUKU STREAM ALLEY,,FRANKLIN SQUARE,NY,11010362114,
1299979,AUTHORIZED USER,Sheldon Flower,1967-03-14,2662,1073976930,,,12673 PAKIHIROA WAY,,BRYCEVILLE,FL,32009006464,
1299980,BUSINESS,Gracie-May Ray,1957-03-14,Ily7xxYmz,1073976930,,,22244 WINDTRAP GULLY BLVD,,JACKSONVILLE,FL,32202346183,
1418199,BUSINESS,Gina Ramsey,1954-12-31,9DwsS2cdh,2841810309,2848157966,,87155 HUMP RD,,TACOMA,WA,98464090101,
1483355,PRIMARY,Trenton Johnston,1947-09-21,bLOrfidbb,,5187292029,,99524 MARY PEAKS LANE,,HELOTES,TX,78023022828,
